"ScientificName_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Abra","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra",NA
"Abra nitida","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","nitida"
"Abra prismatica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","prismatica"
"Abyssoninoe hibernica","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Abyssoninoe","hibernica"
"Achelia echinata","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","echinata"
"Acidostoma obesum","Animalia","Arthropoda","Malacostraca","Amphipoda","Acidostomatidae","Acidostoma","obesum"
"Acrocnida brachiata","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida","brachiata"
"Acteon tornatilis","Animalia","Mollusca","Gastropoda",NA,"Acteonidae","Acteon","tornatilis"
"Ampelisca","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca",NA
"Ampelisca macrocephala","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","macrocephala"
"Ampelisca tenuicornis","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","tenuicornis"
"Ampelisca typica","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","typica"
"Ampharete falcata","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete","falcata"
"Ampharete lindstroemi","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete","lindstroemi"
"Amphictene auricoma","Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Amphictene","auricoma"
"Amphipholis squamata","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","squamata"
"Amphiura chiajei","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","chiajei"
"Amphiura filiformis","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","filiformis"
"Anobothrus gracilis","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Anobothrus","gracilis"
"Antalis entalis","Animalia","Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Antalis","entalis"
"Aonides oxycephala","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","oxycephala"
"Aonides paucibranchiata","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","paucibranchiata"
"Aphelochaeta","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta",NA
"Araphura brevimanus","Animalia","Arthropoda","Malacostraca","Tanaidacea","Tanaellidae","Araphura","brevimanus"
"Argissa hamatipes","Animalia","Arthropoda","Malacostraca","Amphipoda","Argissidae","Argissa","hamatipes"
"Aricidea (Acmira) catherinae","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea","catherinae"
"Astacilla","Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla",NA
"Astacilla dilatata","Animalia","Arthropoda","Malacostraca","Isopoda","Arcturidae","Astacilla","dilatata"
"Atherospio guillei","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Atherospio","guillei"
"Axinulus croulinensis","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Axinulus","croulinensis"
"Bathyporeia","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia",NA
"Bathyporeia elegans","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia","elegans"
"Bathyporeia guilliamsoniana","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia","guilliamsoniana"
"Bathyporeia tenuipes","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae","Bathyporeia","tenuipes"
"Callianassa subterranea","Animalia","Arthropoda","Malacostraca","Decapoda","Callianassidae","Callianassa","subterranea"
"Capitella","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella",NA
"Caulleriella alata","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","alata"
"Centraloecetes kroyeranus","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Centraloecetes","kroyeranus"
"Ceratocephale loveni","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratocephale","loveni"
"Chaetoderma nitidulum","Animalia","Mollusca","Caudofoveata","Chaetodermatida","Chaetodermatidae","Chaetoderma","nitidulum"
"Chaetopterus variopedatus","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Chaetopterus","variopedatus"
"Chaetozone christiei","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone","christiei"
"Chaetozone setosa","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone","setosa"
"Chamelea striatula","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Chamelea","striatula"
"Cirratulus caudatus","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirratulus","caudatus"
"Claviramus candelus","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Claviramus","candelus"
"Cochlodesma praetenue","Animalia","Mollusca","Bivalvia",NA,"Periplomatidae","Cochlodesma","praetenue"
"Corophium","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA
"Cylichna cylindracea","Animalia","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","Cylichna","cylindracea"
"Dasybranchus","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Dasybranchus",NA
"Dendrodoa grossularia","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Dendrodoa","grossularia"
"Devonia perrieri","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Devonia","perrieri"
"Dialychone dunerificta","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Dialychone","dunerificta"
"Diastylis","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae","Diastylis",NA
"Diastylis goodsiri","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae","Diastylis","goodsiri"
"Diastylis laevis","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae","Diastylis","laevis"
"Diastyloides biplicatus","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae","Diastyloides","biplicatus"
"Diplocirrus glaucus","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Diplocirrus","glaucus"
"Dipolydora flava","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Dipolydora","flava"
"Ebalia cranchii","Animalia","Arthropoda","Malacostraca","Decapoda","Leucosiidae","Ebalia","cranchii"
"Echinocardium","Animalia","Echinodermata","Echinoidea","Spatangoida","Loveniidae","Echinocardium",NA
"Echinocyamus pusillus","Animalia","Echinodermata","Echinoidea","Echinolampadacea","Fibulariidae","Echinocyamus","pusillus"
"Eclysippe vanelli","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Eclysippe","vanelli"
"Embletonia pulchra","Animalia","Mollusca","Gastropoda","Nudibranchia","Embletoniidae","Embletonia","pulchra"
"Ennucula tenuis","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Ennucula","tenuis"
"Ensis ensis","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis","ensis"
"Eriopisa elongata","Animalia","Arthropoda","Malacostraca","Amphipoda","Eriopisidae","Eriopisa","elongata"
"Eteone longa","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eteone","longa"
"Euchone","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Euchone",NA
"Eudorella truncatula","Animalia","Arthropoda","Malacostraca","Cumacea","Leuconidae","Eudorella","truncatula"
"Eudorellopsis deformis","Animalia","Arthropoda","Malacostraca","Cumacea","Leuconidae","Eudorellopsis","deformis"
"Eumida sanguinea","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eumida","sanguinea"
"Eunereis longissima","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Eunereis","longissima"
"Euspira nitida","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Euspira","nitida"
"Exogone verugera","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","verugera"
"Fabulina fabula","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Fabulina","fabula"
"Galathowenia oculata","Animalia","Annelida","Polychaeta",NA,"Oweniidae","Galathowenia","oculata"
"Gari fervensis","Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari","fervensis"
"Gattyana cirrhosa","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Gattyana","cirrhosa"
"Glycera alba","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","alba"
"Glycera lapidum","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","lapidum"
"Glycera unicornis","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","unicornis"
"Glycinde nordmanni","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Glycinde","nordmanni"
"Glyphohesione klatti","Animalia","Annelida","Polychaeta","Phyllodocida","Pilargidae","Glyphohesione","klatti"
"Gnathia oxyuraea","Animalia","Arthropoda","Malacostraca","Isopoda","Gnathiidae","Gnathia","oxyuraea"
"Golfingia (Golfingia) elongata","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","elongata"
"Golfingia (Golfingia) vulgaris vulgaris","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","vulgaris"
"Goniada","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniada",NA
"Goniada maculata","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniada","maculata"
"Harmothoe","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe",NA
"Harmothoe antilopes","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","antilopes"
"Harmothoe glabra","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","glabra"
"Harmothoe imbricata","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","imbricata"
"Harpinia antennaria","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Harpinia","antennaria"
"Harpinia crenulata","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Harpinia","crenulata"
"Hemilamprops roseus","Animalia","Arthropoda","Malacostraca","Cumacea","Lampropidae","Hemilamprops","roseus"
"Hermania scabra","Animalia","Mollusca","Gastropoda","Cephalaspidea","Philinidae","Hermania","scabra"
"Heteromastus","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus",NA
"Heteromastus filiformis","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus","filiformis"
"Hiatella arctica","Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Hiatella","arctica"
"Hyalinoecia tubicola","Animalia","Annelida","Polychaeta","Eunicida","Onuphidae","Hyalinoecia","tubicola"
"Hydroides norvegica","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Hydroides","norvegica"
"Ione thoracica","Animalia","Arthropoda","Malacostraca","Isopoda","Ionidae","Ione","thoracica"
"Jasmineira elegans","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Jasmineira","elegans"
"Kurtiella bidentata","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Kurtiella","bidentata"
"Kurtiella tumidula","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Kurtiella","tumidula"
"Labidoplax buskii","Animalia","Echinodermata","Holothuroidea","Apodida","Synaptidae","Labidoplax","buskii"
"Lagis koreni","Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Lagis","koreni"
"Lanice conchilega","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Lanice","conchilega"
"Laonice sarsi","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Laonice","sarsi"
"Leiochone","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Leiochone",NA
"Leiochone leiopygos","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Leiochone","leiopygos"
"Leptostylis villosa","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae","Leptostylis","villosa"
"Leptosynapta bergensis","Animalia","Echinodermata","Holothuroidea","Apodida","Synaptidae","Leptosynapta","bergensis"
"Leptosynapta decaria","Animalia","Echinodermata","Holothuroidea","Apodida","Synaptidae","Leptosynapta","decaria"
"Leucon (Leucon) nasica","Animalia","Arthropoda","Malacostraca","Cumacea","Leuconidae","Leucon","nasica"
"Leucothoe incisa","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Leucothoe","incisa"
"Leucothoe lilljeborgi","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Leucothoe","lilljeborgi"
"Levinsenia gracilis","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Levinsenia","gracilis"
"Lucinoma borealis","Animalia","Mollusca","Bivalvia","Lucinida","Lucinidae","Lucinoma","borealis"
"Lumbrineris cingulata","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris","cingulata"
"Euspira montagui","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Euspira","montagui"
"Samytha sexcirrata","Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Samytha","sexcirrata"
"Magelona","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona",NA
"Magelona alleni","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona","alleni"
"Magelona filiformis","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona","filiformis"
"Magelona johnstoni","Animalia","Annelida","Polychaeta",NA,"Magelonidae","Magelona","johnstoni"
"Malmgrenia andreapolis","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","andreapolis"
"Malmgrenia arenicolae","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","arenicolae"
"Malmgrenia darbouxi","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","darbouxi"
"Malmgrenia ljungmani","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgrenia","ljungmani"
"Medicorophium affine","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Medicorophium","affine"
"Mediomastus fragilis","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Mediomastus","fragilis"
"Megaluropus agilis","Animalia","Arthropoda","Malacostraca","Amphipoda","Megaluropidae","Megaluropus","agilis"
"Melanella polita","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella","polita"
"Mendicula ferruginosa","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Mendicula","ferruginosa"
"Myrianida","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Myrianida",NA
"Mysia undata","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Mysia","undata"
"Neogyptis rosea","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Neogyptis","rosea"
"Nephtys","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys",NA
"Nephtys assimilis","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","assimilis"
"Nephtys caeca","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","caeca"
"Nephtys cirrosa","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","cirrosa"
"Nephtys hombergii","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","hombergii"
"Nephtys hystricis","Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","hystricis"
"Notomastus","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Notomastus",NA
"Nucula nitidosa","Animalia","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula","nitidosa"
"Nuculana minuta","Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae","Nuculana","minuta"
"Ophelina cylindricaudata","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelina","cylindricaudata"
"Ophelina modesta","Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelina","modesta"
"Ophiocten affinis","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiocten","affinis"
"Ophiothrix fragilis","Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiotrichidae","Ophiothrix","fragilis"
"Orbinia sertulata","Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Orbinia","sertulata"
"Oxydromus flexuosus","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Oxydromus","flexuosus"
"Panthalis oerstedi","Animalia","Annelida","Polychaeta","Phyllodocida","Acoetidae","Panthalis","oerstedi"
"Papillicardium minimum","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Papillicardium","minimum"
"Paradialychone","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Paradialychone",NA
"Paradoneis lyra","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Paradoneis","lyra"
"Paramphinome jeffreysii","Animalia","Annelida","Polychaeta","Amphinomida","Amphinomidae","Paramphinome","jeffreysii"
"Paramphitrite birulai","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Paramphitrite","birulai"
"Parathyasira equalis","Animalia","Mollusca","Bivalvia","Lucinida","Thyasiridae","Parathyasira","equalis"
"Peresiella clymenoides","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Peresiella","clymenoides"
"Perioculodes longimanus","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Perioculodes","longimanus"
"Petalosarsia declivis","Animalia","Arthropoda","Malacostraca","Cumacea","Pseudocumatidae","Petalosarsia","declivis"
"Phascolion (Phascolion) strombus strombus","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Phascolion","strombus"
"Phaxas pellucidus","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Phaxas","pellucidus"
"Pholoe baltica","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","baltica"
"Pholoe inornata","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","inornata"
"Pholoe pallida","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","pallida"
"Photis longicaudata","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Photis","longicaudata"
"Phyllodoce groenlandica","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","groenlandica"
"Phyllodoce longipes","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","longipes"
"Phyllodoce rosea","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","rosea"
"Phylo grubei","Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Phylo","grubei"
"Pisidia longicornis","Animalia","Arthropoda","Malacostraca","Decapoda","Porcellanidae","Pisidia","longicornis"
"Podarkeopsis capensis","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Podarkeopsis","capensis"
"Poecilochaetus serpens","Animalia","Annelida","Polychaeta","Spionida","Poecilochaetidae","Poecilochaetus","serpens"
"Polycirrus","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Praxillella affinis","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Praxillella","affinis"
"Praxillura longissima","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Praxillura","longissima"
"Prionospio cirrifera","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Prionospio","cirrifera"
"Prionospio fallax","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Prionospio","fallax"
"Protomedeia fasciata","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Protomedeia","fasciata"
"Pseudonotomastus southerni","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Pseudonotomastus","southerni"
"Pseudopolydora nordica","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","nordica"
"Pseudopolydora pulchra","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","pulchra"
"Retusa umbilicata","Animalia","Mollusca","Gastropoda","Cephalaspidea","Retusidae","Retusa","umbilicata"
"Rhodine gracilior","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Rhodine","gracilior"
"Scalibregma inflatum","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Scalibregma","inflatum"
"Scolelepis","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Scolelepis",NA
"Scolelepis bonnieri","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Scolelepis","bonnieri"
"Scolelepis korsuni","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Scolelepis","korsuni"
"Scoloplos armiger","Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Scoloplos","armiger"
"Scopelocheirus hopei","Animalia","Arthropoda","Malacostraca","Amphipoda","Scopelocheiridae","Scopelocheirus","hopei"
"Siboglinum holmei","Animalia","Annelida","Polychaeta","Sabellida","Siboglinidae","Siboglinum","holmei"
"Sigalion mathildae","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sigalion","mathildae"
"Sorgenfreispira brachystoma","Animalia","Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Sorgenfreispira","brachystoma"
"Sphaerodorum gracilis","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodorum","gracilis"
"Spio decorata","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","decorata"
"Spiochaetopterus","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Spiochaetopterus",NA
"Spiophanes","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes",NA
"Spiophanes bombyx","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","bombyx"
"Spiophanes kroyeri","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","kroyeri"
"Spirobranchus lamarcki","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus","lamarcki"
"Sthenelais boa","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","boa"
"Sthenelais limicola","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","limicola"
"Streblosoma","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Streblosoma",NA
"Streblosoma intestinale","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Streblosoma","intestinale"
"Synarachnactis lloydii","Animalia","Cnidaria","Hexacorallia","Ceriantharia","Cerianthidae","Synarachnactis","lloydii"
